"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 20 07:40:09 UTC 2026","Mon Apr 20 07:40:09 UTC 2026","0","","training.afpa.cda24060.api2026.Api2026ApplicationTests","","training.afpa.cda24060.api2026.Api2026ApplicationTests","contextLoads","contextLoads()","Test de chargement du contexte Spring Boot"
"passed","Mon Apr 20 07:40:09 UTC 2026","Mon Apr 20 07:40:09 UTC 2026","4","","training.afpa.cda24060.api2026.service.PersonServiceMockTest","","training.afpa.cda24060.api2026.service.PersonServiceMockTest","getPersonsTest","getPersonsTest()","Test de récupération de toutes les personnes"
"passed","Mon Apr 20 07:40:09 UTC 2026","Mon Apr 20 07:40:09 UTC 2026","8","","training.afpa.cda24060.api2026.service.PersonServiceMockAllureTest","","training.afpa.cda24060.api2026.service.PersonServiceMockAllureTest","GetPersonByIdTest","GetPersonByIdTest()","Test de récupération d'une personne par ID"
"passed","Mon Apr 20 07:40:09 UTC 2026","Mon Apr 20 07:40:09 UTC 2026","151","","training.afpa.cda24060.api2026.controller.PersonControllerTest","","training.afpa.cda24060.api2026.controller.PersonControllerTest","getPersonsTest","getPersonsTest()","Test de récupération de la liste des personnes"
"passed","Mon Apr 20 07:40:09 UTC 2026","Mon Apr 20 07:40:09 UTC 2026","3","","training.afpa.cda24060.api2026.service.PersonServiceMockTest","","training.afpa.cda24060.api2026.service.PersonServiceMockTest","GetPersonByIdTest","GetPersonByIdTest()",""
"passed","Mon Apr 20 07:40:09 UTC 2026","Mon Apr 20 07:40:09 UTC 2026","216","","training.afpa.cda24060.api2026.service.PersonServiceMockAllureTest","","training.afpa.cda24060.api2026.service.PersonServiceMockAllureTest","getPersonsTest","getPersonsTest()","Test de récupération de toutes les personnes"
